epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,10243.4,1.46967,2.22465,1.92974,0.42234,0.2832,0.30545,0.19333,1.67814,2.57225,2.24052,0.000660045,0.000660045,0.000660045
43,10479.3,1.43935,2.17473,1.90229,0.23745,0.28341,0.1851,0.11262,1.65279,2.82163,2.20258,0.000649046,0.000649046,0.000649046
44,10715.4,1.43137,2.19208,1.9063,0.24084,0.38039,0.24255,0.1557,1.64419,2.63034,2.2343,0.000638047,0.000638047,0.000638047
45,10951.7,1.45709,2.20146,1.92801,0.42807,0.34271,0.33787,0.22955,1.62806,2.48565,2.18016,0.000627048,0.000627048,0.000627048
46,11195.8,1.40969,2.16054,1.89126,0.36451,0.37608,0.33447,0.22027,1.61833,2.44553,2.19961,0.000616049,0.000616049,0.000616049
47,11431.5,1.46804,2.16929,1.90933,0.37404,0.36917,0.34034,0.20107,1.63809,2.42862,2.22696,0.000605051,0.000605051,0.000605051
48,11667.4,1.40337,2.12519,1.88735,0.398,0.34829,0.34711,0.24095,1.56722,2.40145,2.16652,0.000594052,0.000594052,0.000594052
49,11904.4,1.38821,2.07451,1.86255,0.37563,0.31573,0.32257,0.22781,1.52244,2.40489,2.11579,0.000583053,0.000583053,0.000583053
50,12140.1,1.38377,2.09216,1.84666,0.3046,0.4672,0.29493,0.19005,1.62636,2.43671,2.24604,0.000572054,0.000572054,0.000572054
51,12376.4,1.38971,2.06968,1.86359,0.38352,0.39141,0.34622,0.22194,1.58012,2.46516,2.17861,0.000561055,0.000561055,0.000561055
52,12610.8,1.35037,2.0385,1.83191,0.34009,0.39275,0.33666,0.24063,1.56513,2.44318,2.11681,0.000550056,0.000550056,0.000550056
53,12844.4,1.3453,2.01432,1.82187,0.37662,0.41555,0.39324,0.27354,1.50179,2.27908,2.0589,0.000539057,0.000539057,0.000539057
54,13079.7,1.36646,2.05374,1.83428,0.39216,0.37519,0.36898,0.24477,1.62047,2.36636,2.21112,0.000528058,0.000528058,0.000528058
55,13314,1.3379,1.9947,1.81378,0.35086,0.40458,0.33988,0.22809,1.51729,2.38254,2.10247,0.000517059,0.000517059,0.000517059
56,13548.7,1.33581,1.98891,1.80924,0.41564,0.44656,0.36395,0.23106,1.57891,2.32454,2.13886,0.00050606,0.00050606,0.00050606
57,13783.5,1.34936,1.97192,1.80926,0.45718,0.40861,0.39284,0.28587,1.5192,2.28621,2.10702,0.000495062,0.000495062,0.000495062
58,14018.5,1.29612,1.93339,1.77839,0.34855,0.43843,0.33822,0.22401,1.56546,2.37974,2.16108,0.000484063,0.000484063,0.000484063
59,14252.6,1.32521,1.93181,1.80673,0.47575,0.45956,0.43226,0.29433,1.50832,2.22816,2.05145,0.000473064,0.000473064,0.000473064
60,14487.9,1.31776,1.94581,1.7926,0.39324,0.45602,0.38677,0.27347,1.49915,2.22276,2.09535,0.000462065,0.000462065,0.000462065
61,14722.3,1.30599,1.86509,1.76933,0.38886,0.42285,0.37178,0.24252,1.57072,2.28454,2.16385,0.000451066,0.000451066,0.000451066
62,14957.1,1.3076,1.91014,1.77683,0.40198,0.43721,0.35168,0.22966,1.53727,2.37184,2.13307,0.000440067,0.000440067,0.000440067
63,15191.5,1.30917,1.87993,1.76482,0.41085,0.40999,0.3841,0.26642,1.48743,2.16684,2.06237,0.000429068,0.000429068,0.000429068
64,15426,1.29487,1.89024,1.77436,0.44181,0.42986,0.40008,0.27961,1.50819,2.19815,2.13099,0.000418069,0.000418069,0.000418069
65,15660.2,1.2943,1.85228,1.7651,0.42108,0.46082,0.4045,0.26659,1.49396,2.22369,2.07862,0.00040707,0.00040707,0.00040707
66,15895.2,1.27802,1.82923,1.73928,0.57527,0.41497,0.43733,0.30492,1.48161,2.18046,2.05452,0.000396071,0.000396071,0.000396071
67,16129.9,1.26704,1.82676,1.74696,0.49061,0.46876,0.42707,0.28358,1.50491,2.22482,2.11451,0.000385073,0.000385073,0.000385073
